source,destination,type
/product/057-476/S/OR/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/351-V2618/OR/,https://verticalcable.com/product/cat5e-v-max-keystone-jacks-351-series/,301
/product/156-205/P/PK/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/351-V2609/RD/25/,https://verticalcable.com/product/cat5e-v-max-keystone-jacks-351-series/,301
/product/156-209/P/YL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/051-427/PL/BL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/051-431/PL/WH/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/051-432/PL/YL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-460/P/BK/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-462/P/GR/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-463/P/GY/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-464/P/RD/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-465/P/PR/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-466/P/WH/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-467/P/YL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-468/P/OR/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/056-469/P/PK/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/057-479/S/P/BL/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/057-480/S/P/GY/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/057-481/S/P/WH/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/057-482/S/P/BK/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/057-483/S/P/GR/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/057-484/S/P/YL/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/156-200/P/BK/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/351-V2613/BK/,https://verticalcable.com/product/cat5e-v-max-keystone-jacks-351-series/,301
/product/054-455/BL/,https://www.verticalcable.com/product-category/category-cable/cat5e-cable/cat5e-multipair/,301
/product/057-486/S/BL/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/057-487/S/WH/,https://verticalcable.com/product/cat5e-cmr-f-utp-cable-057-series/,301
/product/054-453GY-500/,https://www.verticalcable.com/product-category/category-cable/cat5e-cable/cat5e-multipair/,301
/product/040-380/C5/OWP/,https://www.verticalcable.com/product-category/connectivity/junction-boxes/,301
/product/060-2395/OR/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/060-487/BK/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/060-490/GY/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/060-492/RD/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/060-493/WH/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/022-MB/2G/,https://verticalcable.com/product/022-mb-series-mounting-bracket/,301
/product/060-494/YL/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/038-C6A/2P/WH/,https://verticalcable.com/product/surface-mount-boxes-038-jack-series/,301
/product/060-495/PK/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/060-503/RD/U/,https://verticalcable.com/product/cat6-utp-cmr-060-series-2/,301
/product/062-502/S/PR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-503/S/BK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-504/S/BL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/016-046BL-50/,https://verticalcable.com/product/rj45-slip-on-boots-cat6-cat6a-016-series/,301
/product/062-505/S/GR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-506/S/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-507/S/OR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-508/S/RD/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-509/S/WH/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/062-510/S/YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-2201/ST/OR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-511/ST/BK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/161-102/BL/,https://verticalcable.com/keystones/,301
/product/352-V2703/BL/25/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-513/ST/GR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-514/ST/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-516/ST/RD/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-517/ST/WH/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/063-518/ST/YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/161-101/BK/,https://verticalcable.com/keystones/,301
/product/161-103/GR/,https://verticalcable.com/keystones/,301
/product/161-104/GY/,https://verticalcable.com/keystones/,301
/product/161-105/OR/,https://verticalcable.com/keystones/,301
/product/161-106/PK/,https://verticalcable.com/keystones/,301
/product/161-107/PR/,https://verticalcable.com/keystones/,301
/product/161-108/RD/,https://verticalcable.com/keystones/,301
/product/161-109/WH/,https://verticalcable.com/keystones/,301
